"選挙区名","定数","候補者 氏","ミドルネーム","候補者 名","候補者 氏 ふりがな","候補者 名 ふりがな","年齢","党派名","候補者のウェブサイト等のアドレス"
"北海道選挙区","3名","高橋",,"はるみ","たかはし",,"71歳","自由民主党","https://haruchan.jp/"
"北海道選挙区","3名","田中",,"よしひと","たなか",,"53歳","参政党","https://tanakay.net/"
"北海道選挙区","3名","小野寺",,"まさる","おのでら",,"61歳","日本保守党","https://x.com/onoderamasaru"
"北海道選挙区","3名","後藤",,"朋子","ごとう","ともこ","55歳","ＮＨＫ党","https://x.com/6yfMFVOoGl34056"
"北海道選挙区","3名","宮内",,"しおり","みやうち",,"33歳","日本共産党","https://miyauchishiori.hp.peraichi.com/"
"北海道選挙区","3名","岩本",,"剛人","いわもと","つよひと","60歳","自由民主党","https://tsuyohito.jp/"
"北海道選挙区","3名","稲原",,"むねよし","いなはら",,"36歳","チームみらい","https://team-mir.ai/"
"北海道選挙区","3名","鈴木",,"まさき","すずき",,"33歳","国民民主党","https://suzuki-masaki.my.canva.site"
"北海道選挙区","3名","勝部",,"けんじ","かつべ",,"65歳","立憲民主党","https://katsube-kenji.jp/"
"北海道選挙区","3名","オカダ",,"美輪子",,"みわこ","45歳","日本維新の会","https://x.com/okdvibe_da_ze?s=11"
"北海道選挙区","3名","高杉",,"やすじ","たかすぎ",,"56歳","日本改革党","https://x.com/takasugihokkaid"
"北海道選挙区","3名","のむら","パターソン","和孝",,"かずたか","40歳","れいわ新選組","https://hokkaidou.jp"
"青森県選挙区","1名","滝沢",,"もとめ",,,"66歳","自由民主党","https://www.takisawamotome.com"
"青森県選挙区","1名","福士",,"ますみ",,,"60歳","立憲民主党","https://fukushimasumi.jp/"
"青森県選挙区","1名","加藤",,"つとむ","かとう",,"65歳","参政党","https://note.com/kato_tsutomu"
"青森県選挙区","1名","おぎの",,"優子",,"ゆうこ","33歳","日本共産党",
"青森県選挙区","1名","佐々木",,"晃","ささき","あきら","53歳","ＮＨＫ党",
"岩手県選挙区","1名","吉田",,"博信","よしだ","ひろのぶ","59歳","ＮＨＫ党","https://x.com/alexand0625"
"岩手県選挙区","1名","横沢",,"たかのり","よこさわ",,"53歳","立憲民主党","https://yokosawa.net/"
"岩手県選挙区","1名","及川",,"たいすけ","おいかわ",,"46歳","参政党","https://taisuke.hp.peraichi.com/"
"岩手県選挙区","1名","平野",,"たつお","ひらの",,"71歳","自由民主党","https://tatuo.iwate.jp"
